wins,pythag_wins,wins,yds_per_game,ydsvs_per_game,Pen_per_snap,Fum_per_snap,Rate,ypt,Int_per_Att,SPct,ypc,KRB_per_Rply,Rate_vs,PDPct,Intvs_per_Att,ypt_vs,SPct_vs,KRBvs_per_Rply,ypc_vs,PR_avg,KR_avg,Net_punt_vs,OppPR_avg,OppKR_avg,Net_punt,Punt_for
1,1.4,1,300,385.8,11.5,1.002,59.8,5.25,3.35,5.9,3.92,23.3,90,48.5,1.89,7.04,3.57,32.4,4.6,9.5,23.8,37,14.7,27.5,35.1,44
2,3,2,305.3,376,11.1,0.965,69.3,5.79,3.21,5.71,3.94,26.9,88.8,50,2.09,6.94,3.86,32.2,4.5,10,23.9,37,13.8,26.3,35.4,44.1
3,3.8,3,310.6,366.1,10.7,0.927,70.4,5.88,3.06,5.53,3.96,27.1,87.6,51.4,2.29,6.85,4.14,32.1,4.5,10.4,24.1,36.9,13.5,26.1,35.8,44.3
4,5,4,315.9,356.3,10.2,0.835,70.4,5.97,3.12,5.34,4,27.4,86,52.6,2.37,6.76,4.43,31.9,4.4,10.5,24.2,36.9,13.3,26,36.1,44.4
5,5.6,5,321.2,354.8,9.8,0.827,72,6.01,3.18,5.16,4.01,28.2,84.4,53.8,2.46,6.67,4.46,31.8,4.39,10.6,24.3,36.8,13,25.8,36.2,44.5
6,6.3,6,326.5,353.3,9.6,0.82,76.6,6.26,3,4.97,4.04,28.9,82.9,54.1,2.5,6.61,4.48,31.6,4.38,10.9,24.5,36.8,12.8,25.7,36.3,44.6
7,7.4,7,335.9,351.1,9.4,0.812,78.7,6.45,2.82,4.89,4.29,29.4,82.1,55.6,2.54,6.54,4.51,31.5,4.36,11.2,24.6,36.7,12.5,25.5,36.4,44.7
8,8.1,8,345.2,349,9.2,0.795,80.9,6.46,2.64,4.72,4.36,31.3,80.6,56.2,2.58,6.51,4.63,31.4,4.35,12.1,24.8,36.5,12.3,25.4,36.4,44.8
9,8.5,9,354.6,346.8,9,0.779,83,6.7,2.55,4.6,4.46,31.4,79.8,56.3,2.61,6.49,4.7,31.2,4.34,12.3,24.9,36.4,12.1,25.3,36.5,45
10,9.5,10,363.9,344.6,8.8,0.762,86.7,6.78,2.48,4.49,4.51,32.2,78.9,57.2,2.63,6.46,4.84,30.8,4.33,12.5,25,36.2,11.8,25.2,36.7,45.1
11,10.4,11,373.3,338.6,8.6,0.724,90.4,7.15,2.32,4.38,4.57,32.7,78.1,57.6,2.66,6.44,4.88,30.4,4.31,12.6,25.2,36,11.6,25.1,36.8,45.3
12,10.8,12,382.6,332.6,8.4,0.686,92.2,7.28,2.25,4.23,4.59,33.1,77.3,58.9,2.81,6.41,4.93,29.9,4.3,13.4,25.3,35.9,11.4,24.7,37,45.4
13,11.5,13,387,326.6,8.2,0.648,94,7.4,2.18,4.08,4.61,33.6,75.3,60.7,2.99,6.38,4.97,29.5,4.2,14.1,26.9,35.5,11.2,24.3,37.1,45.5
14,12.4,14,391.3,320.5,7.7,0.61,95.9,7.53,2.11,3.92,4.67,34.7,73.4,61.7,3.02,6.34,5.01,28.2,4.1,15.1,28.5,35.2,11,23.8,37.5,45.7
15,12.6,15,395.7,314.5,7.2,0.495,97.7,7.65,2.04,3.77,4.73,35.7,71.4,65.8,3.05,6.31,5.81,28,3.79,16.1,30.1,34.8,10.6,23.4,37.7,45.8
16,14.2,16,400,308.5,6.7,0.38,99.5,7.78,1.97,3.62,4.79,35.9,69.4,69.9,3.08,6.27,6.6,26,3.47,19.3,31.7,34.5,10.1,22.5,37.7,46.7
